event_id,stations,ref_time,ref_duration,ref_amplitude,known_seismicity_labels
20101217T102543Z,"['2C.BB10.', '2C.BB13.', '2C.BB07.']",2010-12-17T10:25:43.992026Z,1.855947,445.2357287,
20101217T103519Z,"['2C.BB10.', '2C.BB08.', '2C.BB13.']",2010-12-17T10:35:19.372026Z,7.440947,611.093388,
20101217T103927Z,"['2C.BB10.', '2C.BB07.', '2C.BB12.']",2010-12-17T10:39:27.137027Z,0.245946,85.6222617,
20101217T104247Z,"['2C.BB16.', '2C.BB13.', '2C.BB07.']",2010-12-17T10:42:47.607027Z,26.485947,633.0642294,
20101217T105313Z,"['2C.BB07.', '2C.BB08.', '2C.BB15.', '2C.BB10.', '2C.BB13.']",2010-12-17T10:53:13.327973Z,105.805,1330.586106,
20101217T105945Z,"['2C.BB13.', '2C.BB08.', '2C.BB07.']",2010-12-17T10:59:45.277973Z,9.58,511.1015373,
20101217T111435Z,"['2C.BB08.', '2C.BB10.', '2C.BB07.']",2010-12-17T11:14:35.147027Z,3.445947,401.7662299,
20101217T111922Z,"['2C.BB08.', '2C.BB12.', '2C.BB07.']",2010-12-17T11:19:22.347973Z,172.51,1206.062163,
20101217T113233Z,"['2C.BB08.', '2C.BB10.', '2C.BB13.']",2010-12-17T11:32:33.117973Z,7.125,605.254977,
20101217T114632Z,"['2C.BB07.', '2C.BB10.', '2C.BB12.']",2010-12-17T11:46:32.212027Z,1.700947,379.8072934,
20101217T125606Z,"['2C.BB07.', '2C.BB10.', '2C.BB13.', '2C.BB12.', '2C.BB01.']",2010-12-17T12:56:06.962974Z,238.365,2107.868339,
20101217T130529Z,"['2C.BB01.', '2C.BB10.', '2C.BB13.', '2C.BB07.']",2010-12-17T13:05:29.392973Z,50.265,1164.538457,
20101217T133444Z,"['2C.BB07.', '2C.BB12.', '2C.BB10.']",2010-12-17T13:34:44.082027Z,7.125947,818.4972303,TELESEISM II
20101217T140446Z,"['2C.BB13.', '2C.BB17.', '2C.BB07.', '2C.BB16.', '2C.BB11.', '2C.BB08.', '2C.BB01.', '2C.BB06.', '2C.BB12.', '2C.BB15.', '2C.BB03.', '2C.BB10.', '2C.BB14.', '2C.BB04.']",2010-12-17T14:04:46.542973Z,357.27,133663.5017,"STICK-SLIP, PRATT14"
20101217T141329Z,"['2C.BB10.', '2C.BB04.', '2C.BB03.', '2C.BB14.', '2C.BB01.', '2C.BB07.', '2C.BB15.', '2C.BB12.', '2C.BB11.']",2010-12-17T14:13:29.192027Z,139.680947,57995.09132,"STICK-SLIP, PRATT14"
20101217T154736Z,"['2C.BB12.', '2C.BB07.', '2C.BB13.']",2010-12-17T15:47:36.297973Z,1.265,372.4465033,
20101217T231415Z,"['2C.BB13.', '2C.BB01.', '2C.BB08.', '2C.BB16.', '2C.BB12.', '2C.BB17.', '2C.BB11.', '2C.BB15.', '2C.BB07.', '2C.BB03.', '2C.BB06.', '2C.BB10.', '2C.BB14.', '2C.BB04.']",2010-12-17T23:14:15.612026Z,249.475947,105652.446,"STICK-SLIP, PRATT14"
20101217T232656Z,"['2C.BB10.', '2C.BB04.', '2C.BB03.', '2C.BB14.', '2C.BB15.', '2C.BB01.', '2C.BB12.']",2010-12-17T23:26:56.387027Z,64.085947,14309.25207,"STICK-SLIP, PRATT14"
20101218T062605Z,"['2C.BB14.', '2C.BB17.', '2C.BB10.']",2010-12-18T06:26:05.127973Z,0.675,152.732167,
20101218T064321Z,"['2C.BB17.', '2C.BB07.', '2C.BB10.']",2010-12-18T06:43:21.007973Z,2.88,404.0544431,
20101218T073434Z,"['2C.BB07.', '2C.BB17.', '2C.BB12.']",2010-12-18T07:34:34.517026Z,7.460947,415.8251801,
20101218T081325Z,"['2C.BB07.', '2C.BB13.', '2C.BB12.', '2C.BB17.', '2C.BB16.', '2C.BB10.']",2010-12-18T08:13:25.367973Z,47.685,1915.535218,
20101218T083652Z,"['2C.BB10.', '2C.BB17.', '2C.BB07.', '2C.BB06.', '2C.BB12.']",2010-12-18T08:36:52.227027Z,216.500947,2735.437122,
20101218T091606Z,"['2C.BB12.', '2C.BB07.', '2C.BB13.', '2C.BB10.']",2010-12-18T09:16:06.612026Z,83.690947,1158.633859,
20101218T095051Z,"['2C.BB15.', '2C.BB10.', '2C.BB13.', '2C.BB07.', '2C.BB17.', '2C.BB12.']",2010-12-18T09:50:51.787973Z,778.2,2161.683718,
20101218T100955Z,"['2C.BB07.', '2C.BB13.', '2C.BB10.', '2C.BB15.', '2C.BB12.']",2010-12-18T10:09:55.052973Z,104.325,1447.99691,
20101218T101648Z,"['2C.BB07.', '2C.BB10.', '2C.BB15.']",2010-12-18T10:16:48.482027Z,44.860947,714.1812785,
20101218T103013Z,"['2C.BB15.', '2C.BB08.', '2C.BB10.']",2010-12-18T10:30:13.272973Z,1.58,215.3584927,
20101218T103406Z,"['2C.BB10.', '2C.BB07.', '2C.BB13.', '2C.BB15.', '2C.BB01.']",2010-12-18T10:34:06.447027Z,278.890947,2759.824498,
20101218T110253Z,"['2C.BB08.', '2C.BB10.', '2C.BB07.']",2010-12-18T11:02:53.952027Z,5.635947,376.1824714,
