event_id,stations,network_time,ref_time,ref_duration,ref_amplitude,ref_energy,signal_type
20101217T064838Z,"['2C.BB10.', '2C.BB07.', '2C.BB08.']",5.86594680276,2010-12-17T06:48:38.497027Z,37.215947,672.280737946,3385384.26112,amplitude
20101217T072237Z,"['2C.BB10.', '2C.BB17.', '2C.BB07.']",5.86594680276,2010-12-17T07:22:37.527027Z,46.785947,822.490844871,6755195.58332,amplitude
20101217T074401Z,"['2C.BB15.', '2C.BB16.', '2C.BB07.']",5.86594680276,2010-12-17T07:44:01.872973Z,1.485,230.256382604,24832.6938591,amplitude
20101217T074547Z,"['2C.BB16.', '2C.BB15.', '2C.BB12.', '2C.BB13.', '2C.BB07.']",5.86594680276,2010-12-17T07:45:47.292026Z,44.580947,1065.11779007,14961988.3657,amplitude
20101217T074903Z,"['2C.BB01.', '2C.BB07.', '2C.BB13.']",5.86594680276,2010-12-17T07:49:03.502973Z,2.47,493.420600528,164593.596667,amplitude
20101217T075726Z,"['2C.BB07.', '2C.BB08.', '2C.BB15.', '2C.BB01.']",5.86594680276,2010-12-17T07:57:26.827027Z,57.815947,1270.18290075,21040505.6239,amplitude
20101217T083302Z,"['2C.BB12.', '2C.BB08.', '2C.BB07.', '2C.BB13.']",5.86594680276,2010-12-17T08:33:02.592026Z,39.390947,763.360789373,4572023.17098,amplitude
20101217T083539Z,"['2C.BB15.', '2C.BB08.', '2C.BB07.']",5.86594680276,2010-12-17T08:35:39.177027Z,13.435947,519.238572151,1206639.51486,amplitude
20101217T091104Z,"['2C.BB01.', '2C.BB15.', '2C.BB08.']",5.86594680276,2010-12-17T09:11:04.342973Z,67.99,1512.68443568,37375584.176,amplitude
20101217T091520Z,"['2C.BB07.', '2C.BB01.', '2C.BB08.']",5.86594680276,2010-12-17T09:15:20.432973Z,25.675,695.055852133,2822215.38855,amplitude
20101217T093206Z,"['2C.BB07.', '2C.BB15.', '2C.BB08.', '2C.BB01.']",5.86594680276,2010-12-17T09:32:06.177027Z,65.520947,1503.8704421,56174157.5184,amplitude
20101217T095745Z,"['2C.BB07.', '2C.BB15.', '2C.BB08.']",5.86594680276,2010-12-17T09:57:45.367973Z,28.85,697.643595506,3213501.89236,amplitude
20101217T102543Z,"['2C.BB10.', '2C.BB13.', '2C.BB07.']",5.86594680276,2010-12-17T10:25:43.992026Z,1.855947,445.235728687,109659.302815,amplitude
20101217T103519Z,"['2C.BB10.', '2C.BB08.', '2C.BB13.']",5.86594680276,2010-12-17T10:35:19.372026Z,7.440947,611.093387962,995779.452213,amplitude
20101217T103927Z,"['2C.BB10.', '2C.BB07.', '2C.BB12.']",5.86594680276,2010-12-17T10:39:27.137027Z,0.245946,85.6222617049,462.546470588,amplitude
20101217T104247Z,"['2C.BB16.', '2C.BB13.', '2C.BB07.']",5.86594680276,2010-12-17T10:42:47.607027Z,26.485947,633.064229359,2318409.96591,amplitude
20101217T105313Z,"['2C.BB07.', '2C.BB08.', '2C.BB15.', '2C.BB10.', '2C.BB13.']",5.86594680276,2010-12-17T10:53:13.327973Z,105.805,1330.58610626,46964743.5526,amplitude
20101217T105945Z,"['2C.BB13.', '2C.BB08.', '2C.BB07.']",5.86594680276,2010-12-17T10:59:45.277973Z,9.58,511.101537256,844576.31354,amplitude
20101217T111435Z,"['2C.BB08.', '2C.BB10.', '2C.BB07.']",5.86594680276,2010-12-17T11:14:35.147027Z,3.445947,401.766229935,176081.311375,amplitude
20101217T111922Z,"['2C.BB08.', '2C.BB12.', '2C.BB07.']",5.86594680276,2010-12-17T11:19:22.347973Z,172.51,1206.06216267,54026204.2402,amplitude
20101217T113233Z,"['2C.BB08.', '2C.BB10.', '2C.BB13.']",5.86594680276,2010-12-17T11:32:33.117973Z,7.125,605.254976994,908081.546547,amplitude
20101217T114632Z,"['2C.BB07.', '2C.BB10.', '2C.BB12.']",5.86594680276,2010-12-17T11:46:32.212027Z,1.700947,379.807293373,61823.6160234,amplitude
20101217T125606Z,"['2C.BB07.', '2C.BB10.', '2C.BB13.', '2C.BB12.', '2C.BB01.']",5.86594680276,2010-12-17T12:56:06.962974Z,238.365,2107.86833881,236475463.32,amplitude
20101217T130529Z,"['2C.BB01.', '2C.BB10.', '2C.BB13.', '2C.BB07.']",5.86594680276,2010-12-17T13:05:29.392973Z,50.265,1164.53845717,14173530.2706,amplitude
20101217T133444Z,"['2C.BB07.', '2C.BB12.', '2C.BB10.']",5.86594680276,2010-12-17T13:34:44.082027Z,7.125947,818.497230326,1066899.70713,amplitude
20101217T140446Z,"['2C.BB13.', '2C.BB17.', '2C.BB07.', '2C.BB16.', '2C.BB11.', '2C.BB08.', '2C.BB01.', '2C.BB06.', '2C.BB12.', '2C.BB15.', '2C.BB03.', '2C.BB10.', '2C.BB14.', '2C.BB04.']",5.86594680276,2010-12-17T14:04:46.542973Z,357.27,133663.501698,540043483253.0,amplitude
20101217T141329Z,"['2C.BB10.', '2C.BB04.', '2C.BB03.', '2C.BB14.', '2C.BB01.', '2C.BB07.', '2C.BB15.', '2C.BB12.', '2C.BB11.']",5.86594680276,2010-12-17T14:13:29.192027Z,139.680947,57995.0913172,81767335748.4,amplitude
20101217T154736Z,"['2C.BB12.', '2C.BB07.', '2C.BB13.']",5.86594680276,2010-12-17T15:47:36.297973Z,1.265,372.446503262,43121.6445932,amplitude
20101217T231415Z,"['2C.BB13.', '2C.BB01.', '2C.BB08.', '2C.BB16.', '2C.BB12.', '2C.BB17.', '2C.BB11.', '2C.BB15.', '2C.BB07.', '2C.BB03.', '2C.BB06.', '2C.BB10.', '2C.BB14.', '2C.BB04.']",5.86594680276,2010-12-17T23:14:15.612026Z,249.475947,105652.446017,554216066216.0,amplitude
20101217T232656Z,"['2C.BB10.', '2C.BB04.', '2C.BB03.', '2C.BB14.', '2C.BB15.', '2C.BB01.', '2C.BB12.']",5.86594680276,2010-12-17T23:26:56.387027Z,64.085947,14309.252074,4540950741.43,amplitude
